Tanggal,Close,Return
2025-02-24,2410.16748046875,-0.01905
2025-02-25,2280.38916015625,-0.05535
2025-02-26,2336.00830078125,0.0241
2025-02-27,2308.19873046875,-0.01198
2025-02-28,2178.420654296875,-0.05787
2025-03-03,2224.77001953125,0.02105
2025-03-04,2206.230224609375,-0.00837
2025-03-05,2271.119384765625,0.02899
2025-03-06,2224.77001953125,-0.02062
2025-03-07,2234.039794921875,0.00416
2025-03-10,2215.5,-0.00833
2025-03-11,2196.960205078125,-0.0084
2025-03-12,2271.119384765625,0.0332
2025-03-13,2252.57958984375,-0.0082
2025-03-14,2243.3095703125,-0.00412
2025-03-17,2243.3095703125,0.0
2025-03-18,2243.3095703125,0.0
2025-03-19,2252.57958984375,0.00412
2025-03-20,2215.5,-0.0166
2025-03-21,2141.341064453125,-0.03405
2025-03-24,2159.880859375,0.00862
2025-03-25,2169.150634765625,0.00428
2025-03-26,2261.849365234375,0.04185
2025-03-27,2234.039794921875,-0.01237
2025-04-08,2122.80126953125,-0.05107
2025-04-09,2150.61083984375,0.01302
2025-04-10,2178.420654296875,0.01285
2025-04-11,2159.880859375,-0.00855
2025-04-14,2252.57958984375,0.04202
2025-04-15,2271.119384765625,0.0082
2025-04-16,2298.928955078125,0.01217
2025-04-17,2363.818115234375,0.02783
2025-04-21,2382.35791015625,0.00781
2025-04-22,2363.818115234375,-0.00781
2025-04-23,2437.97705078125,0.03089
2025-04-24,2437.97705078125,0.0
2025-04-25,2410.16748046875,-0.01147
2025-04-28,2373.087890625,-0.0155
2025-04-29,2400.8974609375,0.01165
2025-04-30,2447.246826171875,0.01912
2025-05-02,2484.326416015625,0.01504
2025-05-05,2502.8662109375,0.00743
2025-05-06,2484.326416015625,-0.00743
2025-05-07,2428.707275390625,-0.02264
2025-05-08,2382.35791015625,-0.01927
2025-05-09,2410.16748046875,0.01161
2025-05-14,2400.8974609375,-0.00385
2025-05-15,2465.78662109375,0.02667
2025-05-16,2539.945556640625,0.02963
2025-05-19,2614.104736328125,0.02878
2025-05-20,2539.945556640625,-0.02878
2025-05-21,2549.215576171875,0.00364
2025-05-22,2595.56494140625,0.01802
2025-05-23,2493.59619140625,-0.04008
2025-05-26,2595.56494140625,0.04008
2025-05-27,2623.37451171875,0.01066
2025-05-28,2614.104736328125,-0.00354
2025-06-02,2577.025146484375,-0.01429
2025-06-03,2595.56494140625,0.00717
2025-06-04,2614.104736328125,0.00712
2025-06-05,2632.64453125,0.00707
2025-06-10,2697.533447265625,0.02435
2025-06-11,2800.0,0.03728
2025-06-12,2780.0,-0.00717
2025-06-13,2740.0,-0.01449
2025-06-16,2740.0,0.0
2025-06-17,2760.0,0.00727
2025-06-18,2770.0,0.00362
2025-06-19,2690.0,-0.02931
2025-06-20,2640.0,-0.01876
2025-06-23,2580.0,-0.02299
2025-06-24,2590.0,0.00387
2025-06-25,2620.0,0.01152
2025-06-26,2710.0,0.03377
2025-06-30,2780.0,0.0255
2025-07-01,2810.0,0.01073
2025-07-02,2780.0,-0.01073
2025-07-03,2710.0,-0.0255
2025-07-04,2630.0,-0.02996
2025-07-07,2700.0,0.02627
2025-07-08,2650.0,-0.01869
2025-07-09,2670.0,0.00752
2025-07-10,2690.0,0.00746
2025-07-11,2730.0,0.01476
2025-07-14,2690.0,-0.01476
2025-07-15,2640.0,-0.01876
2025-07-16,2650.0,0.00378
2025-07-17,2770.0,0.04429
2025-07-18,2770.0,0.0
2025-07-21,2800.0,0.01077
2025-07-22,2850.0,0.0177
2025-07-23,2850.0,0.0
2025-07-24,2840.0,-0.00351
2025-07-25,2820.0,-0.00707
2025-07-28,2860.0,0.01408
2025-07-29,2880.0,0.00697
2025-07-30,2880.0,0.0
2025-07-31,2880.0,0.0
2025-08-01,2980.0,0.03413
2025-08-04,3030.0,0.01664
2025-08-05,3030.0,0.0
2025-08-06,2990.0,-0.01329
2025-08-07,2950.0,-0.01347
2025-08-08,2940.0,-0.0034
2025-08-11,2990.0,0.01686
2025-08-12,3180.0,0.06161
2025-08-13,3360.0,0.05506
2025-08-14,3420.0,0.0177
2025-08-15,3310.0,-0.03269
2025-08-19,3250.0,-0.01829
2025-08-20,3220.0,-0.00927
2025-08-21,3250.0,0.00927
2025-08-22,3240.0,-0.00308
2025-08-25,3310.0,0.02137
2025-08-26,3260.0,-0.01522
2025-08-27,3170.0,-0.028
2025-08-28,3180.0,0.00315
2025-08-29,3130.0,-0.01585
2025-09-01,3110.0,-0.00641
2025-09-02,3070.0,-0.01295
2025-09-03,3110.0,0.01295
2025-09-04,3150.0,0.01278
2025-09-08,3090.0,-0.01923
2025-09-09,3050.0,-0.01303
2025-09-10,3150.0,0.03226
2025-09-11,3080.0,-0.02247
2025-09-12,3100.0,0.00647
2025-09-15,3260.0,0.05033
2025-09-16,3300.0,0.0122
2025-09-17,3340.0,0.01205
2025-09-18,3250.0,-0.02732
2025-09-19,3230.0,-0.00617
2025-09-22,3220.0,-0.0031
2025-09-23,3190.0,-0.00936
2025-09-24,3160.0,-0.00945
2025-09-25,3120.0,-0.01274
2025-09-26,3110.0,-0.00321
2025-09-29,3080.0,-0.00969
2025-09-30,3060.0,-0.00651
2025-10-01,3060.0,0.0
2025-10-02,3130.0,0.02262
2025-10-03,3070.0,-0.01936
2025-10-06,3010.0,-0.01974
2025-10-07,3010.0,0.0
2025-10-08,2990.0,-0.00667
2025-10-09,3010.0,0.00667
2025-10-10,3040.0,0.00992
2025-10-13,3020.0,-0.0066
2025-10-14,2960.0,-0.02007
2025-10-15,3080.0,0.03974
2025-10-16,2950.0,-0.04312
2025-10-17,2880.0,-0.02401
2025-10-20,2940.0,0.02062
2025-10-21,3280.0,0.10943
2025-10-22,3150.0,-0.04044
2025-10-23,3360.0,0.06454
2025-10-24,3290.0,-0.02105
2025-10-27,3330.0,0.01208
2025-10-28,3400.0,0.0208
2025-10-29,3290.0,-0.03289
2025-10-30,3250.0,-0.01223
2025-10-31,3210.0,-0.01238
2025-11-03,3350.0,0.04269
2025-11-04,3500.0,0.0438
2025-11-05,3540.0,0.01136
2025-11-06,3480.0,-0.01709
2025-11-07,3470.0,-0.00288
2025-11-10,3440.0,-0.00868
2025-11-11,3520.0,0.02299
2025-11-12,3560.0,0.0113
2025-11-13,3500.0,-0.017
2025-11-14,3550.0,0.01418
2025-11-17,3610.0,0.01676
2025-11-18,3620.0,0.00277
2025-11-19,3650.0,0.00825
2025-11-20,3640.0,-0.00274
2025-11-21,3500.0,-0.03922
2025-11-24,3700.0,0.05557
2025-11-25,3650.0,-0.01361
2025-11-26,3720.0,0.019
2025-11-27,3570.0,-0.04116
2025-11-28,3510.0,-0.01695
2025-12-01,3650.0,0.03911
2025-12-02,3560.0,-0.02497
2025-12-03,3580.0,0.0056
2025-12-04,3630.0,0.01387
2025-12-05,3700.0,0.0191
2025-12-08,3630.0,-0.0191
2025-12-09,3570.0,-0.01667
2025-12-10,3640.0,0.01942
2025-12-11,3570.0,-0.01942
2025-12-12,3550.0,-0.00562
2025-12-15,3470.0,-0.02279
2025-12-16,3520.0,0.01431
2025-12-17,3500.0,-0.0057
2025-12-18,3460.0,-0.01149
2025-12-19,3410.0,-0.01456
2025-12-22,3470.0,0.01744
2025-12-23,3470.0,0.0
2025-12-24,3460.0,-0.00289
2025-12-29,3490.0,0.00863
2025-12-30,3480.0,-0.00287
2026-01-02,3470.0,-0.00288
2026-01-05,3580.0,0.03121
2026-01-06,3520.0,-0.0169
2026-01-07,3540.0,0.00567
2026-01-08,3530.0,-0.00283
2026-01-09,3450.0,-0.02292
2026-01-12,3520.0,0.02009
2026-01-13,3620.0,0.02801
2026-01-14,3650.0,0.00825
2026-01-15,3660.0,0.00274
2026-01-19,3620.0,-0.01099
2026-01-20,3600.0,-0.00554
2026-01-21,3600.0,0.0
2026-01-22,3740.0,0.03815
2026-01-23,3770.0,0.00799
2026-01-26,3850.0,0.021
2026-01-27,3940.0,0.02311
2026-01-28,3470.0,-0.12703
2026-01-29,3450.0,-0.00578
2026-01-30,3600.0,0.04256
2026-02-02,3500.0,-0.02817
2026-02-03,3450.0,-0.01439
2026-02-04,3330.0,-0.0354
2026-02-05,3290.0,-0.01208
2026-02-06,3380.0,0.02699
2026-02-09,3350.0,-0.00892
2026-02-10,3400.0,0.01482
2026-02-11,3530.0,0.03752
2026-02-12,3560.0,0.00846
2026-02-13,3450.0,-0.03139
2026-02-18,3490.0,0.01153
2026-02-19,3480.0,-0.00287
2026-02-20,3480.0,0.0
2026-02-23,3550.0,0.01992
2026-02-24,3580.0,0.00842
2026-02-25,3600.0,0.00557
2026-02-26,3650.0,0.01379
2026-02-27,3540.0,-0.0306
2026-03-02,3450.0,-0.02575
2026-03-03,3450.0,0.0
2026-03-04,3200.0,-0.07522
2026-03-05,3260.0,0.01858
2026-03-06,3190.0,-0.02171
2026-03-09,3100.0,-0.02862
2026-03-10,2960.0,-0.04621
2026-03-11,3000.0,0.01342
2026-03-12,3020.0,0.00664
2026-03-13,2970.0,-0.01669
2026-03-16,2960.0,-0.00337
2026-03-17,3050.0,0.02995
2026-03-25,3300.0,0.07878
2026-03-26,3170.0,-0.04019
2026-03-27,3050.0,-0.03859
2026-03-30,3040.0,-0.00328
