,count,mean,std,min,25%,50%,75%,max,variance,skewness,median,mode
DSSA,305.0,0.0018770563952860888,0.04301344873745502,-0.19668766136273708,-0.014010737069598333,0.004145697379706566,0.022035224123684145,0.1823215567939546,0.0018501567722896712,-0.6655298695649517,0.004145697379706566,0.0
EMTK,305.0,0.0015509527369283347,0.045480398755506246,-0.16138834712748887,-0.022557347424074514,0.0,0.02429269086690563,0.22075021863995528,0.002068466670959854,0.4030566558014738,0.0,0.0
EXCL,305.0,0.0010928587048998142,0.03054407615334107,-0.16160227913567912,-0.009174411090337866,0.0,0.013071971249831747,0.1451820098444979,0.0009329405880610986,-0.45453153611786634,0.0,0.0
GOTO,305.0,-0.0012008012949340445,0.031106980155688992,-0.15616073075528253,-0.017699577099400975,0.0,0.014184634991956381,0.12604072089536497,0.0009676442144064288,0.48108061511219213,0.0,0.0
HEAL,305.0,-0.00045840216682112853,0.02389828950092656,-0.07563743400024499,-0.011605553487921924,0.0,0.01054491317661504,0.12854102798602607,0.0005711282410700967,0.3891540187992303,0.0,0.0
ICBP,305.0,-0.0015579689095910462,0.018455198889163502,-0.0756373814053083,-0.011428695823622744,-0.002684565370668987,0.008097210232619303,0.06417822569141099,0.00034059436603858177,-0.01484828593450696,-0.002684565370668987,0.0
INCO,305.0,0.0011547584470353168,0.03864538247229122,-0.1622598248997974,-0.02077996849174531,0.0,0.021142422394125143,0.11892006159036507,0.0014934655864296733,0.13370210721526005,0.0,0.0
INDF,305.0,-0.0008051113607879023,0.01876612920887369,-0.07571183672528937,-0.012345835822299379,0.0,0.011049836186584935,0.06453851271184247,0.0003521676054841422,-0.11613174317054667,0.0,0.0
INKP,305.0,0.0010271511823716285,0.03423761363043981,-0.17072980346120029,-0.016000336302828398,0.0,0.01568659071397977,0.15276275455241017,0.001172214187107278,-0.06732191403170204,0.0,0.0
ISAT,305.0,-0.0005086184982661063,0.03432943816712718,-0.16681733113677008,-0.016878036881848534,0.0,0.01709443335930004,0.09245711082191838,0.001178510324870608,-0.701911800250216,0.0,0.0
ITMG,305.0,0.0007169982160470383,0.014868153272408402,-0.06543097992059081,-0.004561011327562562,0.0008973132719622447,0.006659256897499249,0.07065815080601262,0.00022106198173182866,0.4048797090236672,0.0008973132719622447,0.0
JPFA,305.0,0.0010749364326772337,0.0300355622040759,-0.1090573775391525,-0.01739174271186922,-0.0025031360939292762,0.01709443335930004,0.10153641921942282,0.0009021349969149127,0.17507237422756877,-0.0025031360939292762,0.0
KLBF,305.0,-0.001466126325303024,0.027303727427688152,-0.07309190957550622,-0.020040715144776386,-0.0033167526259939265,0.01534556967466032,0.09237332013101507,0.0007454935314454903,0.36542538213321724,-0.0033167526259939265,0.0
MAPI,305.0,-0.0006935279855144175,0.031099722692401036,-0.16034268178426497,-0.01727158944577307,0.0,0.015384918839479456,0.14763602951894264,0.000967192751544244,0.27581305496061287,0.0,0.0
MBMA,305.0,0.000879554054408784,0.04776380265504606,-0.16251892949777494,-0.0279087881170765,-0.004376374599798888,0.019231361927887592,0.22314355131420976,0.002281380844070185,1.09696970906966,-0.004376374599798888,0.0
MDKA,305.0,0.0015707440178734748,0.044238971138385305,-0.16196932794505614,-0.02205971806473222,0.0,0.028259337314403277,0.15963014559188393,0.0019570865673828883,-0.08907417920198354,0.0,0.0
MEDC,305.0,0.001900408709065122,0.027362239282073167,-0.09393182700485338,-0.014051746209086587,0.0,0.01754437417185379,0.14541699985850368,0.0007486921385294279,0.6095361714201208,0.0,0.0
NCKL,305.0,0.0011631483631733858,0.03529342542223509,-0.15656908270135625,-0.01869213301215252,0.0,0.01762160134981941,0.16893998809812324,0.0012456258780348703,0.3479800487185912,0.0,0.0
PGAS,305.0,0.0009499252902678214,0.021628722445252702,-0.14505016199672302,-0.009917397082235246,0.0,0.012500169098342376,0.0725392981946847,0.000467801634613778,-0.9475920300857965,0.0,0.0
PGEO,305.0,0.0002380890978067614,0.03229467324017155,-0.09691789719242178,-0.018215439891341216,-0.0035273405179684107,0.01242251999855711,0.16205578909680188,0.0010429459196894524,1.1357358316997115,-0.0035273405179684107,0.0
PTBA,305.0,0.0008491998757054476,0.01635881347112516,-0.05818195538273583,-0.008130126083250176,0.0,0.0074349381812833385,0.08565551719649263,0.000267610778183066,1.0239791968800065,0.0,0.0
SCMA,305.0,0.0024755462614896853,0.04547757164271321,-0.15634607039069398,-0.023530540708094946,0.0,0.020726130517116952,0.1936530550279825,0.0020682095225181127,0.5428357520387936,0.0,0.0
SMGR,305.0,-0.0009169080553085129,0.03314116019943186,-0.15919481531430496,-0.019048194970694474,-0.003683245416296405,0.01438873745209967,0.1490959091656343,0.0010983364993644065,0.543066497530536,-0.003683245416296405,0.0
TLKM,305.0,0.0005535258839524412,0.02509501280438594,-0.1270261293510746,-0.014556297774207487,0.0,0.013869847864150377,0.10943384104546204,0.0006297596676522943,-0.038637981338114365,0.0,0.0
TOWR,305.0,-0.0011367669211462801,0.028631845105635847,-0.09333193437990779,-0.01739167996196715,0.0,0.00947874839660262,0.13786975595425843,0.0008197825541531234,0.9235592434144346,0.0,0.0
UNTR,305.0,0.0006844651365626574,0.024516129372956358,-0.16173737416295478,-0.009871747646549541,0.00158856268513774,0.01329554248124472,0.06817454083571955,0.0006010405994315334,-1.726368050949372,0.00158856268513774,0.0
UNVR,305.0,0.00013989053376333197,0.03469243537251403,-0.16743296086513088,-0.01854359506866813,-0.0026701715695574644,0.017544309650909525,0.15748950969613457,0.0012035650720760625,0.41126537882913267,-0.0026701715695574644,0.0
