Date,AADI.JK,ADMR.JK,ADRO.JK,AKRA.JK,AMMN.JK,AMRT.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BMRI.JK,BREN.JK,BRPT.JK,BUMI.JK,CPIN.JK,CTRA.JK,DSSA.JK,EMTK.JK,EXCL.JK,GOTO.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INKP.JK,ISAT.JK,ITMG.JK,JPFA.JK,KLBF.JK,MAPI.JK,MBMA.JK,MDKA.JK,MEDC.JK,NCKL.JK,PGAS.JK,PGEO.JK,PTBA.JK,SCMA.JK,SMGR.JK,TLKM.JK,TOWR.JK,UNTR.JK,UNVR.JK
2020-07-23,,,353.2789001464844,385.8941955566406,,705.5858154296875,569.2640380859375,3604.922607421875,5223.1484375,1773.5313720703125,1982.7685546875,994.1124267578125,2120.5361328125,,1166.48876953125,50.0,5529.396484375,598.8292846679688,83.5,437.8518981933594,2377.828125,,588.1945190429688,8229.431640625,3130.68994140625,5284.296875,7763.73583984375,497.9644775390625,3452.689208984375,963.2716064453125,1451.959716796875,682.1368408203125,,1668.278076171875,343.2753601074219,,854.8009643554688,,940.7088623046875,199.2274627685547,8166.017578125,2363.670654296875,955.6617431640625,11840.8203125,6367.52099609375
2020-07-24,,,340.7734375,374.54437255859375,,700.8817138671875,565.1388549804688,3517.84765625,5138.9052734375,1735.876708984375,1951.196044921875,978.75927734375,2083.33349609375,,1156.64501953125,50.0,5438.75048828125,585.219482421875,83.5,432.3211669921875,2327.236572265625,,588.1945190429688,8220.4716796875,3159.58837890625,5307.2470703125,7379.15478515625,492.0829772949219,3354.353759765625,938.3594360351562,1411.5025634765625,677.2293701171875,,1673.156005859375,331.88031005859375,,837.6362915039062,,922.87548828125,200.01181030273438,8014.7958984375,2325.174072265625,942.6299438476562,11472.1787109375,6367.52099609375
2020-07-27,,,347.0261535644531,404.3376770019531,,705.5858154296875,598.1396484375,3570.092529296875,5138.9052734375,1750.9384765625,1989.083251953125,982.5975341796875,2185.64013671875,,1077.8948974609375,50.0,5597.380859375,594.292724609375,83.5,432.3211669921875,2360.96435546875,,588.1945190429688,8063.6787109375,3342.61328125,5307.2470703125,7355.11767578125,501.8854675292969,3496.393798828125,938.3594360351562,1393.521728515625,677.2293701171875,,1814.6181640625,329.03155517578125,,844.502197265625,,927.333740234375,204.71795654296875,8101.20849609375,2340.57275390625,942.6299438476562,12386.4140625,6387.2958984375
2020-07-28,,,340.7734375,400.08154296875,,705.5858154296875,594.0146484375,3604.922607421875,5210.51220703125,1762.2347412109375,1982.7685546875,971.0828857421875,2176.339599609375,,1004.0663452148438,50.0,5620.04150390625,603.3659057617188,83.5,432.3211669921875,2301.93994140625,,588.1945190429688,8108.4765625,3304.08154296875,5266.2646484375,7186.86328125,492.0829772949219,3518.246826171875,934.2074584960938,1362.0550537109375,687.0443115234375,,1765.838134765625,329.03155517578125,,837.6362915039062,,927.333740234375,204.71795654296875,8122.8115234375,2325.174072265625,938.2860717773438,12740.3115234375,6446.62060546875
2020-07-29,,,339.2102355957031,404.3376770019531,,700.8817138671875,602.2647705078125,3535.262451171875,5168.3896484375,1728.3455810546875,1970.139404296875,986.4358520507812,2120.5361328125,,935.159912109375,50.0,5620.04150390625,594.292724609375,83.5,424.0250244140625,2141.73193359375,,592.0769653320312,8175.67333984375,3275.182861328125,5245.7734375,7547.40869140625,458.7546691894531,3452.689208984375,917.59912109375,1371.0455322265625,687.0443115234375,,1756.0821533203125,327.6072082519531,,844.502197265625,,922.87548828125,200.79617309570312,8187.6220703125,2309.775634765625,946.9739379882812,12681.326171875,6525.7197265625
2020-07-30,,,339.2102355957031,408.5938415527344,,696.177978515625,602.2647705078125,3587.508056640625,5256.8466796875,1732.1112060546875,1995.397705078125,971.0828857421875,2157.73828125,,935.159912109375,50.0,5642.703125,594.292724609375,83.5,414.80706787109375,2108.00390625,,592.0769653320312,8242.8720703125,3294.44873046875,5286.75634765625,7499.3359375,450.9127197265625,3452.689208984375,880.23095703125,1407.0074462890625,672.3218994140625,,1746.326171875,330.4559631347656,,868.5326538085938,,905.0421142578125,201.58053588867188,7971.5888671875,2348.27197265625,986.069091796875,12592.85546875,6644.3701171875
2020-08-03,,,322.0152587890625,394.4065856933594,,677.3622436523438,577.5142211914062,3399.42529296875,5164.177734375,1671.8638916015625,1888.0501708984375,928.8617553710938,2046.1312255859375,,881.0191040039062,50.0,5370.765625,553.4635009765625,83.5,413.88525390625,2006.8193359375,,582.3707275390625,8332.4677734375,3227.0185546875,5307.2470703125,7138.79052734375,425.4263916015625,3343.427001953125,830.4065551757812,1402.5120849609375,637.9696655273438,,1702.424072265625,317.6365661621094,,823.904541015625,,880.521240234375,191.3838653564453,7885.17626953125,2248.181640625,981.725341796875,12062.0078125,6525.7197265625
2020-08-04,,,323.5784606933594,397.24407958984375,,700.8817138671875,581.6392822265625,3455.153076171875,5231.57421875,1717.0494384765625,1944.8812255859375,982.5975341796875,2074.032958984375,,876.0972290039062,50.0,5665.3642578125,585.219482421875,83.5,405.589111328125,2057.411865234375,,597.900634765625,8982.0419921875,3294.44873046875,5532.6513671875,7859.88037109375,454.83367919921875,3376.205810546875,847.0147094726562,1415.9979248046875,652.6920776367188,,1765.838134765625,321.9096984863281,,827.33740234375,,896.12548828125,192.9525909423828,7949.98486328125,2271.279541015625,1007.7890014648438,12062.0078125,6505.94482421875
2020-08-05,,,328.2679748535156,400.13311767578125,,710.2896728515625,618.7652587890625,3517.84765625,5227.361328125,1743.40771484375,1944.8812255859375,1013.3037109375,2120.5361328125,,885.94091796875,50.0,5620.04150390625,589.7561645507812,83.5,395.44940185546875,2091.1396484375,,601.783203125,9452.4228515625,3487.106689453125,5799.03857421875,8004.0986328125,462.6756591796875,3376.205810546875,867.77490234375,1451.959716796875,652.6920776367188,,1887.788330078125,321.9096984863281,,847.9351196289062,,909.5004272460938,192.9525909423828,8166.017578125,2325.174072265625,1007.7890014648438,12696.07421875,6611.73291015625
2020-08-06,,,348.5893859863281,401.5776062011719,,686.7701416015625,688.8919067382812,3639.7529296875,5273.69580078125,1747.1728515625,1963.8251953125,1028.6568603515625,2148.43798828125,,905.6285400390625,50.0,5688.0263671875,585.219482421875,83.5,395.44940185546875,2133.2998046875,,611.4893188476562,9250.83203125,3554.536865234375,5758.0556640625,8268.498046875,470.5176086425781,3485.46826171875,876.0789794921875,1438.4739990234375,682.1368408203125,,1970.71435546875,334.7290954589844,,847.9351196289062,,927.333740234375,196.87435913085938,8295.6376953125,2325.174072265625,999.1008911132812,14023.1904296875,6551.62646484375
